original,translated
7an,tujuan
@,di
ababil,abg labil
abis,habis
acc,accord
ad,ada
adlah,adalah
adlh,adalah
adoh,aduh
afaik,as far as i know
aha,tertawa
ahaha,haha
aing,saya
aj,saja
aja,saja
ajep-ajep,dunia gemerlap
ajj,saja
ak,saya
aka,dikenal juga sebagai
akika,aku
akko,aku
akkoh,aku
akku,aku
akuwh,aku
akyu,aku
alay,norak
aljasa,asal jadi saja
alow,halo
ama,sama
ambilin,ambilkan
ambl,ambil
ancur,hancur
anjir,anjing
anjrit,anjing
ank,anak
anter,antar
ap,apa
ap2,apa-apa
apaan,apa
apasih,apa sih
ape,apa
apes,sial
aplot,unggah
aps,apa
apva,apa
aq,saya
aqu,aku
aquwh,aku
asap,sesegera mungkin
asbun,asal bunyi
aseek,asyik
aseekk,asyik
asek,asyik
asekk,asyik
aseknya,asyiknya
asem,asam
asoy,asyik
aspal,asli tetapi palsu
astrojim,astagfirullahaladzim
astul,asal tulis
ath,kalau begitu
ato,atau
atuh,kalau begitu
au ah,tidak mau tahu
ava,avatar
awak,saya
aws,awas
ay,sayang
ayang,sayang
ayank,sayang
ayok,ayo
b4,sebelum
bacot,banyak bicara
bakalan,akan
bales,balas
bandes,bantuan desa
bangdes,pembangunan desa
bangedh,banget
bangkotan,tua
banpol,bantuan polisi
banpres,bantuan presiden
banpur,bantuan tempur
bansarkas,bantuan sarana kesehatan
basbang,basi
bazis,"badan amal, zakat, infak, dan sedekah"
bcanda,bercanda
bcoz,karena
bdg,bandung
beb,sayang
begajulan,nakal
bejibun,banyak
beliin,belikan
belom,belum
bencong,banci
bener,benar
bentar,sebentar
ber2,berdua
ber3,bertiga
berdikari,berdiri di atas kaki sendiri
beresin,membereskan
bet,banget
bete,bosan
beti,beda tipis
beud,banget
beut,banget
bg,abang
bgd,banget
bgmn,bagaimana
bgs,bagus
bgt,banget
bhubu,tidur
bijimane,bagaimana
bimbuluh,bimbingan dan penyuluhan
bintal,bimbingan mental
bisi,kalau-kalau
bkl,akan
bkn,bukan
bknnya,bukannya
bl,beli
blegug,bodoh
blg,bilang
